service_name,organisation_name,description,address,categories,email,website,facebook,phone,facilities,access_options,opening_times,accreditation 
Mumbles Movies,Mumbles Development Trust,"Community Film Club that shows FREE film shows on the 3rd Monday of each month at All Saints Church Hall in Mumbles. Doors open 7pm, film starts 7.30pm. To receive information on future film shows please email mdtmumbles@btinternet.com Children's film shows are shown from time to time. Mumbles Movies uses state of the art equipment and sound system. The cinema equipment is a community resource and is available to hire.","All Saints Church Hall,Mumbles,Swansea,SA3 4BZ","Arts/Culture/Heritage,Community",mdtmumbles@btinternet.com,,,01792 361012,"Toilets,Kitchen,Parking",,,
Swansea and Gower Talking Magazine,Swansea and Gower Talking Magazine,We record articles from the Evening Post and other information which might be of interest to the blind and partially sighted.,"Unit 7 Phoenix Centre,Swansea,Swansea,SA1 6PH","Disability,Health and social care",,,,01792 202679,,Agency referral,,
Domestic Abuse One Stop Shop,Domestic Abuse One Stop Shop,"A one stop shop for victims of domestic abuse of any gender providing a drop in service, advice surgeries, training, workshops and volunteering opportunities","35-36 Singleton Street,Swansea,Swansea,SA1 3QN","Children and Families,Education and training",rosa.mayharris@hafancymru.co.uk,,,01792 345750,"Toilets,Kitchen,IT,Internet (wifi),Disabled access,Hearing loop,Disabled toilet",Drop in,,
Breakfast for Rough Sleepers,Zac's Place (Exousia Trust),Provision of a simple breakfast and practical support for those sleeping rough or vulnerably housed. In partnership with The Wallich's Rough Sleepers Intervention Team.,"Zac's Place,George Street,Swansea,SA1 4HH",Housing,,,,,"Toilets,Disabled access,Disabled toilet","Drop in,Self referrral,Agency referral,By appointment only",,
Rough Edges,Zac's Place (Exousia Trust),Charity Shop and workshop with an emphasis on men but not exclusively. See website for more details.,"63 Heol Y Gors,Townhill,Swansea,SA1 6RY",,info@rough-edges.org.uk,,,,"Toilets,Parking","Drop in,Self referrral,Agency referral",,
Zac's Place Coffee Bar and Soup Kitchen,Zac's Place (Exousia Trust),"Free hot meal for those in crisis. Provision of clothes, food parcels, hygiene supplies and pastoral support also available.","Zac's Place,George Street,Swansea,SA1 4HH","Older People,Mental Health,Children and Families,Community,Health and social care,Youth",,,,,"Toilets,Disabled access,Disabled toilet",Drop in,,
Elysium Gallery and artists studios,Elysium Gallery,"Elysium Gallery is an artist led, self sustaining enterprise comprising of 60 artist studios and a contemporary art gallery at 3 locations in Swansea City Centre, Wales, United Kingdom. We support 13 artists studios and a gallery space at 16 College Street, Swansea and a further 13 studios at 2 Mansel Street, Swansea. 35 at High St Swansea Elysium Gallery promotes the work of artists by providing a solid platform from which they can anchor themselves and provide a comprehensive national and international network to increase their exposure. Elysium Gallery strives to provide support for emerging and established artists and art organisations as well as encouraging pride and participation in local visual and performing arts in an environment that promotes experimentation, freedom and appreciation in all creative practices. This helps to bridge the large gap between emerging and established artists, whilst continuing to strengthen, promote and sustain the vibrant Welsh arts scene. The Gallery is a curated space, programmed through directed curatorial and panel selection. The organisation has a main programme of events but leaves gaps in its calendar for impromptu events and exhibitions (see gallery hire section). The studios form an artistic community that enable the artists and Elysium Gallery to support each other.","16 College Street,Swansea,SA1 5BH",Arts/Culture/Heritage,dan@elysiumgallery.com,,,,"Toilets,Kitchen,Internet (wifi),Disabled access,Disabled toilet",By appointment only,,
The Indian Society of South West Wales,The Indian Society of South West Wales,"Promotion of Cultural, educational, recreational in the pursuit of community cohesion and harmony",,"Community,Ethnic minorities",chantalt@aol.com,,,,,By appointment only,,
The Big Issue,The Big Issue,"We offer support and the opportunity to earn a legitimate income to those that are homeless or vulnerably housed. We have an open door policy and will assist anyone who comes to us. We offer support in areas such as health, education and training, tenancy support, general well being, benefit advice and appeals and career advice. We also make referrals to and work alongside agencies that deal with addictions, substance misuse and housing.","1 The Kingsway,Swansea,SA1 5JQ","Education and training,Employment,Ethnic minorities,Health and social care,Housing",cara.phillips@bigissuecymru.co.uk,http://www.bigissue.com/tags/big-issue-cymru,,01792 410222,"Toilets,IT,Disabled toilet",Drop in,,
Martial Arts for self defence and personal development,Jenny Treasure's Martial Arts Academy,I offer fitness and Martial Arts courses for families in the Swansea area which helps them with their daily lives.,"Vivian Hall,Blackpill,Oystermouth,SA3 5AS","Children and Families,Sport and recreation",j_treasure@hotmail.com,,,01792511545 / 07523968020,"Toilets,Kitchen,Parking",Drop in,,
Penlan Social Club - Sports and Activities,Penlan Social Club,"Various sports and activities at the club - Football, rugby, snooker, pool, darts, indoor bowls, boot sale","Heol Gwyrosydd,Penlan,Swansea,SA5 7BT","Community,Sport and recreation",j.fussell550@btinternet.com,,,01792 472545,"Toilets,Kitchen,Internet (wifi),Dance floor,Parking,Disabled access,Disabled toilet,Internet  (no wifi)",Drop in,,
Penlan Social Club events and Venue Hire,Penlan Social Club,"Weddings, funerals, union meetings, birthdays etc","Heol Gwyrosydd,Penlan,Swansea,SA5 7BT","Community,Sport and recreation",j.fussell550@btinternet.com,,,01792 472545,"Toilets,Kitchen,Internet (wifi),Dance floor,Parking,Disabled access,Disabled toilet,Internet  (no wifi)",Drop in,,
Women's history - preservation and accessibility,Women's Archive of Wales / Archif Menywod Cymru,Promotes recognition of women in Welsh history and preservation of women's history in Wales,,Arts/Culture/Heritage,info@womensarchivewales.org,,,07581 001 139,,,,
Community Well-Being Centre,Swansea Seventh-day Adventist Church,"The Community Well-Being Centre aims to help individuals to reach their full potential by promoting a balanced lifestyle. We hope to achieve our goal through a variety of different programmes, workshops and activities, which will be available to Swansea community. More information could be found on our website. The church on 55 Gower Road is in process of being rebuilt. We envisage that the work should be completed in 9 months, and the venue will be ready to use at the beginning of 2016.","55 Gower Road,Sketty,SA2 9BH","Mental Health,Education and training,Health and social care",info@adventistswansea.org.uk,,,,"Toilets,Kitchen,Internet (wifi),Disabled access,Hearing loop,Disabled toilet",,,
Swansea Centre VIP Group,RNIB in Swansea,A social group and support group who meet once a month for tea and coffee. Speakers are often arranged to discuss issues relating to the visually impaired.,"3 De La Beche Street,Swansea,SA1 3EY","Older People,Disability,Health and social care",anita@cibi.co.uk,,,01792 776360,"Toilets,Kitchen",Drop in,,
RNIB Swansea Low Vision Workshops,RNIB in Swansea,"Provides information and advise around the low vision service, how to use magnifier, lighting, colour and contrast.","3 De La Beche Street,Swansea,SA1 3EY","Older People,Health and social care,Disability",anita@cibi.co.uk,,,01792 776360,"Toilets,Kitchen",Drop in,'Glyn VivianArt Gallery first Wednesday of each month 10am to 12 noon ,
RNIB Swansea Confidence Building,RNIB in Swansea,"There are five Confidence Building courses providing information and advice around  shopping, transport and mobility , entertainment and leisure, Health and Wellbeing and Falls Prevention","3 De La Beche Street,Swansea,SA1 3EY","Older People,Advice and advocacy,Health and social care",anita@cibi.co.uk,,,01792 776360,"Toilets,Kitchen",By appointment only,,
Gorseinon VIP Group,RNIB in Swansea,Social and support group. Visually Impaired members meet for coffee and a chat. Speakers are often arranged.,"Gorseinon Institute,Lime Street,Swansea,SA4 4AD","Older People,Disability,Health and social care",anita@cibi.co.uk,,,01792 776360,,Drop in,,
Mumbles VIP Group,RNIB in Swansea,Social and support group. Visually Impaired members meet for coffee and a chat. Speakers are often arranged.,"Mumbles Methodist Church,Mumbles Rd,Swansea,SA3 4EA","Older People,Disability,Health and social care",anita@cibi.co.uk,,,01792 776360,,Drop in,,
RNIB Swansea Sport Activities,RNIB in Swansea,"We provide many sports activities for the visually impaired for all ages such as Tennis, Goalball, Swimming, Bikeability - tandem cycling, Golf, Bowls.","3 De La Beche Street,Swansea,SA1 3EY","Older People,Disability,Health and social care,Sport and recreation",anita@cibi.co.uk,,,01792 776360,"Toilets,Kitchen",By appointment only,,
 Reading Group,RNIB in Swansea,Visually impaired members meet to read and discuss books in various formats,"Swansea Central Library,Oystermouth Rd,Swansea,SA1 3SN","Older People,Disability,Health and social care",anita@cibi.co.uk,,,01792 776360,,Drop in,,
LASA Credit Union,LASA Credit Union,"We are a financial co-operative, meaning we are owned and run by our members (customers). We help people access savings and loans, we also help people understand their financial situation and improve this if needed.","139 Walter Road,Swansea,SA1 5RQ",Advice and advocacy,query@lasacreditunion.org.uk,,,01792 643632,"Toilets,Disabled access","Drop in,By appointment only",,
